"year","month","day","mode","route","peak","numerator","denominator"
2023,1,1,"Bus","1","OFF_PEAK",1063,1333
2023,1,1,"Bus","86","OFF_PEAK",251,357
2023,1,2,"Bus","1","OFF_PEAK",1064,1409
2023,1,2,"Bus","86","OFF_PEAK",294,364
2023,1,3,"Bus","1","OFF_PEAK",1088,1373
2023,1,3,"Bus","1","PEAK",270,336
2023,1,3,"Bus","86","OFF_PEAK",352,455
2023,1,3,"Bus","86","PEAK",176,228
2023,1,4,"Bus","1","OFF_PEAK",973,1271
2023,1,4,"Bus","1","PEAK",373,463
2023,1,4,"Bus","86","OFF_PEAK",394,475
2023,1,4,"Bus","86","PEAK",190,250
2023,1,5,"Bus","1","OFF_PEAK",969,1268
2023,1,5,"Bus","1","PEAK",295,384
2023,1,5,"Bus","86","OFF_PEAK",346,450
2023,1,5,"Bus","86","PEAK",170,234
2023,1,6,"Bus","1","OFF_PEAK",808,1082
2023,1,6,"Bus","1","PEAK",235,302
2023,1,6,"Bus","86","OFF_PEAK",379,469
2023,1,6,"Bus","86","PEAK",193,232
2023,1,7,"Bus","1","OFF_PEAK",1482,1897
2023,1,7,"Bus","86","OFF_PEAK",396,529
2023,1,8,"Bus","1","OFF_PEAK",1055,1315
2023,1,8,"Bus","86","OFF_PEAK",302,364
2023,1,9,"Bus","1","OFF_PEAK",1023,1386
2023,1,9,"Bus","1","PEAK",322,421
2023,1,9,"Bus","86","OFF_PEAK",388,488
2023,1,9,"Bus","86","PEAK",211,266
2023,1,10,"Bus","1","OFF_PEAK",889,1140
2023,1,10,"Bus","1","PEAK",211,289
2023,1,10,"Bus","86","OFF_PEAK",365,465
2023,1,10,"Bus","86","PEAK",219,279
2023,1,11,"Bus","1","OFF_PEAK",1137,1434
2023,1,11,"Bus","1","PEAK",325,420
2023,1,11,"Bus","86","OFF_PEAK",369,485
2023,1,11,"Bus","86","PEAK",229,295
2023,1,12,"Bus","1","OFF_PEAK",981,1303
2023,1,12,"Bus","1","PEAK",302,417
2023,1,12,"Bus","86","OFF_PEAK",373,483
2023,1,12,"Bus","86","PEAK",207,274
2023,1,13,"Bus","1","OFF_PEAK",938,1236
2023,1,13,"Bus","1","PEAK",259,353
2023,1,13,"Bus","86","OFF_PEAK",346,472
2023,1,13,"Bus","86","PEAK",227,295
2023,1,14,"Bus","1","OFF_PEAK",1509,1909
2023,1,14,"Bus","86","OFF_PEAK",385,530
2023,1,15,"Bus","1","OFF_PEAK",1135,1424
2023,1,15,"Bus","86","OFF_PEAK",278,364
2023,1,16,"Bus","1","OFF_PEAK",1385,1824
2023,1,16,"Bus","86","OFF_PEAK",335,517
2023,1,17,"Bus","1","OFF_PEAK",1130,1469
2023,1,17,"Bus","1","PEAK",318,423
2023,1,17,"Bus","86","OFF_PEAK",367,483
2023,1,17,"Bus","86","PEAK",197,256
2023,1,18,"Bus","1","OFF_PEAK",978,1313
2023,1,18,"Bus","1","PEAK",250,348
2023,1,18,"Bus","86","OFF_PEAK",391,492
2023,1,18,"Bus","86","PEAK",235,296
2023,1,19,"Bus","1","OFF_PEAK",1166,1515
2023,1,19,"Bus","1","PEAK",373,516
2023,1,19,"Bus","86","OFF_PEAK",357,477
2023,1,19,"Bus","86","PEAK",196,265
2023,1,20,"Bus","1","OFF_PEAK",919,1195
2023,1,20,"Bus","1","PEAK",328,425
2023,1,20,"Bus","86","OFF_PEAK",339,468
2023,1,20,"Bus","86","PEAK",189,242
2023,1,21,"Bus","1","OFF_PEAK",1342,1751
2023,1,21,"Bus","86","OFF_PEAK",394,516
2023,1,22,"Bus","1","OFF_PEAK",1075,1429
2023,1,22,"Bus","86","OFF_PEAK",260,363
2023,1,23,"Bus","1","OFF_PEAK",969,1341
2023,1,23,"Bus","1","PEAK",344,447
2023,1,23,"Bus","86","OFF_PEAK",355,490
2023,1,23,"Bus","86","PEAK",223,279
2023,1,24,"Bus","1","OFF_PEAK",1039,1369
2023,1,24,"Bus","1","PEAK",279,392
2023,1,24,"Bus","86","OFF_PEAK",324,495
2023,1,24,"Bus","86","PEAK",193,282
2023,1,26,"Bus","1","OFF_PEAK",894,1165
2023,1,26,"Bus","1","PEAK",239,341
2023,1,26,"Bus","86","OFF_PEAK",361,497
2023,1,26,"Bus","86","PEAK",201,284
2023,1,27,"Bus","1","OFF_PEAK",850,1234
2023,1,27,"Bus","1","PEAK",308,405
2023,1,27,"Bus","86","OFF_PEAK",323,459
2023,1,27,"Bus","86","PEAK",191,241
2023,1,28,"Bus","1","OFF_PEAK",1346,1843
2023,1,28,"Bus","86","OFF_PEAK",314,528
2023,1,29,"Bus","1","OFF_PEAK",1054,1374
2023,1,29,"Bus","86","OFF_PEAK",223,364
2023,1,30,"Bus","1","OFF_PEAK",1021,1363
2023,1,30,"Bus","1","PEAK",324,410
2023,1,30,"Bus","86","OFF_PEAK",387,498
2023,1,30,"Bus","86","PEAK",207,284
2023,1,31,"Bus","1","OFF_PEAK",1052,1391
2023,1,31,"Bus","1","PEAK",322,449
2023,1,31,"Bus","86","OFF_PEAK",349,477
2023,1,31,"Bus","86","PEAK",172,246
2023,2,1,"Bus","1","OFF_PEAK",1018,1328
2023,2,1,"Bus","1","PEAK",264,347
