"year","month","day","mode","route","peak","numerator","denominator"
2023,1,1,"Rail","Green-D","OFF_PEAK",14639.707955353,18568.055979658
2023,1,1,"Rail","Red","OFF_PEAK",59984.367438276,66606.054484288
2023,1,2,"Rail","Green-D","OFF_PEAK",18633.91859694,23369.879095345
2023,1,2,"Rail","Green-D","PEAK",13951.323250876,17392.588239278
2023,1,2,"Rail","Red","OFF_PEAK",107093.64614175,117639.727998644
2023,1,2,"Rail","Red","PEAK",100043.616838886,112481.907278479
2023,1,3,"Rail","Green-D","OFF_PEAK",18721.625562348,23916.348576122
2023,1,3,"Rail","Green-D","PEAK",14873.7287871,18475.360842064
2023,1,3,"Rail","Red","OFF_PEAK",112911.001319971,126821.613828204
2023,1,3,"Rail","Red","PEAK",98130.602902113,111962.124461486
2023,1,4,"Rail","Green-D","OFF_PEAK",19114.033714041,24181.690932555
2023,1,4,"Rail","Green-D","PEAK",14936.783931823,18759.606748403
2023,1,4,"Rail","Red","OFF_PEAK",117814.93088544,130480.075696253
2023,1,4,"Rail","Red","PEAK",103827.124002217,116377.793498967
2023,1,5,"Rail","Green-D","OFF_PEAK",19314.170847212,24912.602973257
2023,1,5,"Rail","Green-D","PEAK",14087.145827391,18153.119958013
2023,1,5,"Rail","Red","OFF_PEAK",114158.622394701,126579.377642831
2023,1,5,"Rail","Red","PEAK",102360.521752441,113844.062603956
2023,1,6,"Rail","Green-D","OFF_PEAK",18371.752309395,24454.339606509
2023,1,6,"Rail","Green-D","PEAK",14472.443757856,18880.125756213
2023,1,6,"Rail","Red","OFF_PEAK",114558.632262655,127026.642448265
2023,1,6,"Rail","Red","PEAK",99922.992130623,111755.917749566
2023,1,7,"Rail","Green-D","OFF_PEAK",19151.720262175,23839.315760978
2023,1,7,"Rail","Red","OFF_PEAK",29811.594773749,48503.367057462
2023,1,8,"Rail","Green-D","OFF_PEAK",12349.740931774,15586.8463722
2023,1,8,"Rail","Red","OFF_PEAK",23748.047448992,36285.440766187
2023,1,9,"Rail","Green-D","OFF_PEAK",19048.126653134,24458.860163576
2023,1,9,"Rail","Green-D","PEAK",14499.75640894,18410.64175034
2023,1,9,"Rail","Red","OFF_PEAK",112880.48995158,128165.140135773
2023,1,9,"Rail","Red","PEAK",99194.701853822,114102.009081565
2023,1,10,"Rail","Green-D","OFF_PEAK",19146.912837664,23955.37738716
2023,1,10,"Rail","Green-D","PEAK",13239.646673863,17887.451420812
2023,1,10,"Rail","Red","OFF_PEAK",112986.963640756,126032.664857787
2023,1,10,"Rail","Red","PEAK",101767.364791644,110658.872301601
2023,1,11,"Rail","Green-D","OFF_PEAK",19961.921731885,25769.406706387
2023,1,11,"Rail","Green-D","PEAK",15050.455690453,18924.862698302
2023,1,11,"Rail","Red","OFF_PEAK",112403.505274539,126765.906546558
2023,1,11,"Rail","Red","PEAK",102611.171737239,112218.337114072
2023,1,12,"Rail","Green-D","OFF_PEAK",19701.715159099,24965.002655141
2023,1,12,"Rail","Green-D","PEAK",14717.810885887,18836.72584142
2023,1,12,"Rail","Red","OFF_PEAK",113110.782050231,125276.087698606
2023,1,12,"Rail","Red","PEAK",102456.650539607,113719.015116683
2023,1,13,"Rail","Green-D","OFF_PEAK",19728.923368515,24410.514568879
2023,1,13,"Rail","Green-D","PEAK",15213.101696823,18969.930885752
2023,1,13,"Rail","Red","OFF_PEAK",114543.619137355,124934.313053148
2023,1,13,"Rail","Red","PEAK",102592.944660934,111973.183047968
2023,1,14,"Rail","Green-D","OFF_PEAK",14594.990953277,19872.775527668
2023,1,14,"Rail","Red","OFF_PEAK",82106.193704647,91480.056298199
2023,1,15,"Rail","Green-D","OFF_PEAK",9236.408235248,12187.861858398
2023,1,15,"Rail","Red","OFF_PEAK",59989.950573972,66223.734165746
2023,1,16,"Rail","Green-D","OFF_PEAK",19009.687158575,24412.10262307
2023,1,16,"Rail","Green-D","PEAK",15607.776563728,19767.754325771
2023,1,16,"Rail","Red","OFF_PEAK",115053.018919374,125309.16019234
2023,1,16,"Rail","Red","PEAK",103628.624002161,110367.735942883
2023,1,17,"Rail","Green-D","OFF_PEAK",19731.67826882,24691.389457889
2023,1,17,"Rail","Green-D","PEAK",13648.201156216,17205.080338071
2023,1,17,"Rail","Red","OFF_PEAK",108949.693684744,125425.828937936
2023,1,17,"Rail","Red","PEAK",95005.019603109,111537.085208689
2023,1,18,"Rail","Green-D","OFF_PEAK",18538.039217319,23905.656082929
2023,1,18,"Rail","Green-D","PEAK",15036.330501411,18890.60363688
2023,1,18,"Rail","Red","OFF_PEAK",112328.648855062,126021.920941767
2023,1,18,"Rail","Red","PEAK",100667.844290235,113812.379290985
2023,1,19,"Rail","Green-D","OFF_PEAK",18120.384862013,23737.118471048
2023,1,19,"Rail","Green-D","PEAK",14242.087137057,18271.795090589
